expo,table,project,sponsors,link,category,special
1,52,Swear.jar,"Best Use of Yodlee API, Best Solo Hack: Wireless Headphones, Best use of Google Cloud Platform, Best Domain Name from Domain.com, Best Hack for Social Good, Best Use of Cloud Hosting, Most Innovative Solution, (MLH Weekly) Best Social Good Hack from Fidelity Weekly Challenge, Best Financial Hack, Best Use of Data",https://hackru-f18.devpost.com/submissions/102211-swear-jar,,
1,53,RUBallChasing - A Rocket League AI,,https://hackru-f18.devpost.com/submissions/102218-ruballchasing-a-rocket-league-ai,,
1,54,Voice Password Randomized Encryption / Decryption,,https://hackru-f18.devpost.com/submissions/102221-voice-password-randomized-encryption-decryption,,
1,55,Trends and Patterns,Best Use of Data,https://hackru-f18.devpost.com/submissions/102223-trends-and-patterns,,
1,56,blokshot,Most Innovative Solution,https://hackru-f18.devpost.com/submissions/102227-blokshot,,
1,57,icims-job-app,"Snap Kit Weekly Challenge, Best Solo Hack: Wireless Headphones, Best use of the iCIMS Hackathon API, Best Rutgers Hack: Rutgers Swag, Most Innovative Solution, Best Use of Data",https://hackru-f18.devpost.com/submissions/102231-icims-job-app,,
1,58,SkinSthetic,Best use of Clarifai‰Ûªs API Weekly Challenge,https://hackru-f18.devpost.com/submissions/102147-skinsthetic,,
1,59,CliniClarify,"Best use of Google Cloud Platform, Best Domain Name from Domain.com, Best Rutgers Hack: Rutgers Swag, Best Hack for Social Good, Best Use of Cloud Hosting, Most Innovative Solution, (MLH Weekly) Best Social Good Hack from Fidelity Weekly Challenge, Best Use of Data",https://hackru-f18.devpost.com/submissions/102234-cliniclarify,,
1,60,XON,"Best Financial Hack, Best Use of Data",https://hackru-f18.devpost.com/submissions/102240-xon,,
1,61,Jacques,"Best Hardware Hack, Best Sci-Fi Hack, Best Rutgers Hack: Rutgers Swag, Best Hack for Social Good, (MLH Weekly) Best Social Good Hack from Fidelity Weekly Challenge",https://hackru-f18.devpost.com/submissions/102186-jacques,,
1,62,Earthbending,,https://hackru-f18.devpost.com/submissions/102310-earthbending,,
